código;descrição;estação;Rack;linha;coluna
49089;MATCH SHAMP NUTR REGENERADORA 300ml;rua 6;Rack 1;3;C
49925;NSPA BAS P/ SOLIDOS PP;RUA 05;Rack 4;3;J
49925;NSPA BAS P/ SOLIDOS PP;SALA G;Rack 3;7;D
49144;MATCH LEAVE IN LISO PROLONGADO 150ml;RUA 04;Rack 8;4;E
51278;MAKE B BAS LIQ C/ GLYC TX 100 30g;RUA 03;Rack 4;5;X
53767;NIINA SCRT PINC BAS PS;rua 6;Rack 1;13;AC
52581;NIINA SCRT HIDRA BALM CARAM 3,2g;RUA 03;Rack 3;7;V
51348;NIINA SKIN HID FAC 40g;rua 6;Rack 1;3;D
82847;MATCH MASC CAP LISO PROLONGADO 250g;RUA 04;Rack 13;1;H
52204;SIAGE SHAMP LIMP PURIF MEN 250ml;RUA 04;Rack 12;4;H
53520;SIAGE COND RECONST/FIOS V3 200ml;RUA 03;Rack 1;4;B
47968;MATCH LEAVE IN 150ml;RUA 04;Rack 13;4;G
52033;NEO DERMO CR ANTIS FAC 45 PRO AGE 50g;RUA 05;Rack 5;4;J
83699;MATCH COND OL CONTROLADA 280ml;RUA 04;Rack 6;1;D
54362;REF SIAGE SHAMP RECONST/FIOS V2 400ml;RUA 03;Rack 1;4;A
82888;MATCH COND HIDRATACAO E BRLH 280ml;RUA 04;Rack 4;4;G
52619;MAKE B MASC CIL SCANDAL L C/OL COCO 10g;RUA 03;Rack 10;7;E
52190;SIÀGE CONDICIONADOR HIDRATAÇÃO INTENSA MEN 200ML;RUA 02;Rack 2;1;A
51252;QDB SKIN Q SRUM MULTIAREAS UNIFOR 30ml;RUA 05;Rack 5;1;R
51282;MAKE B BAS LIQ C/ GLYC TX  330 30G;RUA 03;Rack 3;1;V
51270;MAKE B BAS LIQ C/ GLYCOLIC TX 300 30g;RUA 03;Rack 4;12;G
54363;REF SIAGE COND RECONST/FIOS V2 400ml;RUA 03;Rack 1;3;G
52870;QDB DIVERTIDA MAKE PLT MULTIF 1 12g;RUA 03;Rack 5;12;A
52482;ESTJ ZAAD/THE BLEND EXPERIMENTACAO 4x4ml;RUA 05;Rack 4;3;C
82701;MATCH COND HIDRATACAO ANTIF 280ml;RUA 04;Rack 5;1;C
48510;LILY CR HID MAO 50g;rua 6;Rack 1;12;L
2239;INTENSE BAS LIQ MATE CAMUFL POP 100 20ml;RUA 03;Rack 4;6;Y
53954;NEO DERMO MASSAG FAC CRIST BRCO;SALA G;Rack 1;5;E
52214;SIAGE POMAD MODEL CAP MEN V2 90g;RUA 05;Rack 3;3;C
52214;SIAGE POMAD MODEL CAP MEN V2 90g;rua 6;Rack 1;3;G
2285;INTENSE BAS LIQ MATE CAMUFL POP 320 20ml;rua 6;Rack 1;3;H
2215;INTENSE BAT MATE POP ROSA TELHA 4,0g;RUA 03;Rack 3;9;E
49379;MATCH ACIDIFICANTE 100ml;rua 6;Rack 1;3;I
83697;MATCH SHAMP OL CONTROLADA 300ml;RUA 02;Rack 3;2;A
50705;MAKE B BLUSH PO C/AC POLIG CORAL 5,5g;RUA 03;Rack 10;9;C
52037;NEO DERMO PRO AGE CR ANTIS FAC 60 50g;RUA 05;Rack 5;4;B
49150;MATCH SPR CAP MULTIBENEFICIOS 150ml;RUA 04;Rack 9;1;D
52746;REF EUD CR DES HID CPO INDULGENT 200g;RUA 02;Rack 4;4;D
52747;REF LA VICTORIE CR ACET DES HID CPO 200g;rua 6;Rack 1;3;J
53430;SIAGE COND CAUTERIZ DOS FIOS V3 200ml;RUA 02;Rack 3;1;D
53433;SIAGE MASC CAP CAUTERIZ FIOS V3 250g;RUA 04;Rack 6;1;H
53428;SIAGE SHAMP CAUTERIZ FIOS V3 250ml;RUA 02;Rack 2;3;F
52832;QDB MASC CILIO SOBR TD/COLOR TRANSP 12g;RUA 03;Rack 4;7;K
52862;QDB BST MULTIF HALLOWEEN 1 4,4g;RUA 03;Rack 5;6;H
53159;ESTJ DR BOTICA POCAO DA AVENTURA V2;SALA G;Rack 4;2;A
52563;BOTI NECESS HOLOGRAFICA PU;RUA 05;Rack 3;4;G
52563;BOTI NECESS HOLOGRAFICA PU;SALA G;Rack 3;6;I
53901;MALBEC NECESSAIRE REG PU;SALA G;Rack 3;3;E
49765;UOMINI DES COL V6 100ml;RUA 01;Rack 9;2;B
49766;UOMINI DES COL BLACK V6 100ml;RUA 01;Rack 8;3;G
50418;UOMINI DES COL INFINITE V2 100ml;RUA 01;Rack 10;2;D
53002;QDB LEAV CAP RECARREGA 150ml;RUA 05;Rack 2;2;J
53003;QDB FLD PROT TERMICO CAP RECARREGA 90ml;RUA 02;Rack 3;4;D
50112;EUDORA H DES COL REFRESH 100ml;RUA 04;Rack 4;2;I
53521;SIAGE MASC CAP RECONST/FIOS V3 250g;RUA 02;Rack 3;2;C
53740;QDB BAT MATE ALT/PIG PRM 1,6g;sala A;Rack 1;1;L
53001;QDB COND RECARREGA 200ml;RUA 04;Rack 13;2;B
51068;BOTIK GEL LIMP FAC MICLR AC MAND/SAL 50g;RUA 05;Rack 5;4;K
54896;LILY CREM ACET BANHO 250ml;RUA 02;Rack 5;1;B
50396;BOTI SUN PROT SOL FAC FPS30 ULT FLD 40ml;RUA 04;Rack 6;2;G
50395;BOTI SUN PROT SOL CPO FPS30 200g;RUA 02;Rack 5;4;G
50395;BOTI SUN PROT SOL CPO FPS30 200g;RUA 04;Rack 1;3;J
50395;BOTI SUN PROT SOL CPO FPS30 200g;RUA 04;Rack 10;4;H
52342;BOTI SUN PROT SOL CPO FPS70 200g;RUA 05;Rack 1;2;B
53958;QDB MALETA MAQUIAGEM G PU;SALA G;Rack 3;8;J
47963;BOTI SUN PROT SOL CPO GEL CR FPS50 200g;RUA 04;Rack 7;2;B
56156;BOTI HOME BANDEJA DOLOMITE;RUA 04;Rack 1;4;A
51387;BOTICA 214 EDP FIJI PAR FL ESPEC 75ml;RUA 02;Rack 3;1;F
50480;GLAM BAT MICRO PLUMP AVELA MAGNF 1,8g;RUA 03;Rack 5;9;H
50484;GLAM BAT MICRO PLUMP MALVA ESSENC 1,8g;RUA 03;Rack 6;9;B
50483;GLAM BAT MICRO PLUMP ROSADO NOBRE 1,8g;RUA 03;Rack 5;2;H
50481;GLAM BAT MICRO PLUMP VERMELHO UNICO 1,8g;RUA 03;Rack 5;6;G
50482;GLAM BAT MICRO PLUMP TERRAC RETRO 1,8g;RUA 03;Rack 6;5;C
51395;BOTICA 214 EDP FIJI PAR FL ESPEC 90ml;RUA 04;Rack 11;2;B
53742;QDB CLEANSING OIL PRM 30ml;sala A;Rack 1;1;N
51402;BOTICA 214 DES ANT AER FIJ P/FG/ES 125ml;RUA 04;Rack 10;4;C
53415;LIZ DES COL INTENSO 100ml;RUA 04;Rack 9;1;I
53416;LIZ CR DES HID CPO INTENSO 250g;RUA 03;Rack 2;4;A
51987;EGEO DES COL FREE FIRE PRM 10ml;sala A;Rack 1;1;O
49909;QDB PINCEL SUPERACAB PELE PERFEITA;SALA G;Rack 1;7;F
49906;QDB PINCEL BLUSH;SALA G;Rack 1;6;B
49916;QDB PINCEL DELINEAR OLHOS;SALA G;Rack 1;1;G
49914;QDB PINCEL CORRETIVO;RUA 03;Rack 9;2;A
49902;QDB PINCEL ESFUMADOR SOMBRA;SALA G;Rack 1;3;G
49900;QDB PINCEL MULTIUSO ROSTO;SALA G;Rack 1;5;F
49901;QDB PINCEL SOMBRA;RUA 03;Rack 9;6;C
50991;QDB ILUM LIQ ROSTO/CPO GUARANA 30ml;pré-vencidos;Rack 1;3;D
50991;QDB ILUM LIQ ROSTO/CPO GUARANA 30ml;RUA 03;Rack 3;7;C
51514;INSTANCE CR HID MAO BAUN V2 30g;rua 6;Rack 2;7;E
51533;INSTANCE CR HID MAO KARITE V2 30g;rua 6;Rack 2;1;K
53761;EUD EDP GOLDEN 75ml;RUA 01;Rack 10;1;E
49904;QDB PINCEL CONTORNO;RUA 03;Rack 9;8;B
49899;QDB PINCEL DUO SOBRANCELHA;RUA 03;Rack 9;8;C
52384;INSTANCE LOC DES H CP CER/AMEND V2 400ml;RUA 02;Rack 3;4;F
50525;QDB BASE LIQ ACORDEI ASSIM 00 N 30ml;RUA 03;Rack 4;12;AA
50527;QDB BASE LIQ ACORDEI ASSIM 04 Q 30ml;pré-vencidos;Rack 1;1;S
50529;QDB BASE LIQ ACORDEI ASSIM 14N 30ml;RUA 03;Rack 3;7;D
50530;QDB BASE LIQ ACORDEI ASSIM 16Q 30ml;RUA 03;Rack 4;1;F
50531;QDB BASE LIQ ACORDEI ASSIM 03 Q 30ml;pré-vencidos;Rack 1;4;C
50532;QDB BASE LIQ ACORDEI ASSIM 12 Q 30ml;RUA 03;Rack 3;7;A
50533;QDB BASE LIQ ACORDEI ASSIM 10 N 30ml;pré-vencidos;Rack 1;3;V
50534;QDB BASE LIQ ACORDEI ASSIM 03 F 30ml;pré-vencidos;Rack 1;4;D
50536;QDB BASE LIQ ACORDEI ASSIM 07 N 30ml;pré-vencidos;Rack 1;3;N
50535;QDB BASE LIQ ACORDEI ASSIM 02 Q 30ml;RUA 03;Rack 3;2;Z
52816;INTENSE BRLH LAB INCOLOR 5ml;RUA 03;Rack 5;9;E
53929;MALBEC DES ANTIT AER GOLD V3 75g;RUA 05;Rack 1;1;I
53929;MALBEC DES ANTIT AER GOLD V3 75g;RUA 05;Rack 1;3;H
53930;EGEO DES ANTIT AER BLUE V3 75g;RUA 04;Rack 5;1;F
53934;BOTICOLL PORTINARI DES ANTIT AER V8 75g;RUA 04;Rack 2;1;B
53935;FLORATTA DES ROLL BLUE V7 55ml;RUA 04;Rack 1;2;D
53933;MEN DES ROLL V4 55ml;RUA 01;Rack 8;1;E
53933;MEN DES ROLL V4 55ml;RUA 04;Rack 13;3;F
53738;CJ AMOST QDB BAT MATE MINI 1g C/3;rua 6;Rack 1;3;O
53483;SOPHIE PLT MULTIF DISNEY WISH;RUA 03;Rack 6;7;C
52577;GLAM BLUSH ILUM CREM MULTIF GOLDEN 30g;pré-vencidos;Rack 1;3;O
52171;NEO DERMO SAB BARR FAC PURIFIC 80g;RUA 05;Rack 5;3;E
56279;OUI DES ANTIT AER ICONIQUE V2 75g;RUA 05;Rack 1;2;D
94051;EUDORA H DES COL V2 100ml;RUA 01;Rack 4;3;B
94052;EUDORA H DES COL ENERGY V2 100ml;RUA 04;Rack 1;4;D
94054;EUDORA H DES COL ACQUA V2 100ml;RUA 04;Rack 8;1;J
94053;EUDORA H DES COL READY V2 100ml;RUA 04;Rack 8;2;H
47596;BOTI SUN GEL POS SOL ACQUA GEL 120g;RUA 05;Rack 1;1;J
53628;BOTIK GEL LIMP FAC VITAM C PRM 50g;sala A;Rack 1;1;P
52029;BOTICOLL PORTINARI D/COL ABSOLUTO 100ml;RUA 01;Rack 6;1;C
52030;DEM BOTICOLL PORTINARI D/COL ABSOL 4ml;RUA 03;Rack 7;4;C
52815;QDB PLT MULTIFUNCIONAL CELEBRA 21,6g;pré-vencidos;Rack 1;1;T
56278;OUI DES ANTIT AER LEXPERIENCE 706 V2 75g;RUA 05;Rack 3;2;G
50253;QDB PR SOL FAC C/COR FPS70 SKINQ 40ml;rua 6;Rack 1;3;P
53196;INSTANCE DES ANTIT AER KARITE 150ml;RUA 04;Rack 10;4;J
50258;QDB PROT SOL FAC FPS70 SKINQ 40ml;RUA 05;Rack 1;2;F
51455;INTENSE BAT GLOSS STICK CORAL 3,2g;RUA 03;Rack 5;1;G
50380;INTENSE BAT GLOSS STICK VERM 3,2g;RUA 03;Rack 5;12;E
52864;NIINA SKIN PR SOL FAC ANTIOL FPS70 40ml;RUA 05;Rack 5;2;P
52864;NIINA SKIN PR SOL FAC ANTIOL FPS70 40ml;RUA 05;Rack 4;1;H
54755;QDB PLT SOMB P/COLOR FABER CASTELL 7,6g;SALA G;Rack 1;1;D
55958;SIAGE COND CICA THERAPY 400ml;RUA 03;Rack 2;4;B
53357;SIAGE AMP CAP RECONS PRO CRONOLOGY 10ml;RUA 03;Rack 8;7;B
53358;SIAGE AMP CAP NUTR PRO CRONOLOGY 10ml;RUA 03;Rack 8;5;B
53355;SIAGE MASC CAP PRO CRONOLOGY 250g;RUA 02;Rack 1;4;B
53094;SIAGE SHAMP PRO CRONOLOGY 250ml;RUA 02;Rack 4;1;C
53094;SIAGE SHAMP PRO CRONOLOGY 250ml;RUA 02;Rack 5;1;E
53095;SIAGE COND PRO CRONOLOGY 200ml;RUA 02;Rack 1;1;E
53096;SIAGE LEAV CAP PRO CRONOLOGY 100ml;RUA 02;Rack 4;2;D
52537;INTENSE DEL LIQ HOL BY MELISS PINK 3,2ml;pré-vencidos;Rack 1;2;K
51796;OUI SAB BARR JD/GRASSE ROSE 90g;RUA 05;Rack 2;1;C
51796;OUI SAB BARR JD/GRASSE ROSE 90g;rua 6;Rack 1;3;Q
52538;INTENSE DEL LIQ HOL BY MELISS REAL 3,2ml;pré-vencidos;Rack 1;2;L
52814;QDB BAT DUO GLOS PODDELAS VERM/INSCR 8ml;RUA 03;Rack 4;11;I
52243;NEO DERMO GEL HID FAC HIDRA MINERAL 30g;RUA 05;Rack 5;3;C
55957;SIAGE SHAMP CICA THERAPY 400ml;RUA 04;Rack 1;4;E
84385;MALBEC EDP SIGNATURE V3 90ml;RUA 04;Rack 1;3;B
50158;BOTI VAPORIZADOR PERF ALUM;SALA G;Rack 1;7;C
51470;BOTIK GEL LIMP FAC VITAM C 200g;RUA 04;Rack 2;1;H
52169;NEO DERMO ESFOLIANTE FAC PURIFIC 75g;rua 6;Rack 1;3;R
52168;NEO DERMO GEL LIMP FAC PURIFIC 150g;RUA 04;Rack 3;3;C
52250;NEO DERMO CR FAC NOT BIORET MULT/EF 50g;RUA 05;Rack 5;3;I
52167;NEO DERMO SRUM FAC LIFIT/IM MULT/EF 20ml;RUA 05;Rack 5;4;D
52386;REF INSTANCE DES H CP CER/AMEND V2 350ml;RUA 02;Rack 5;1;G
50252;QDB PR SOL FAC C/COR FPS70 SKINQ 02 40ml;RUA 05;Rack 5;1;C
50251;QDB PR SOL FAC C/COR FPS70 SKINQ 03 40ml;RUA 05;Rack 5;2;I
53186;BOTIK SRUM FAC ALT POT VITAM C 15ml;RUA 05;Rack 5;4;L
54073;NEO D/SRUM PREENC A/HIAL ACT/PRO V2 30ml;RUA 05;Rack 5;3;B
57023;GLAM LAPIS RETR SOBRANC ESCURO V2 0,35g;RUA 03;Rack 4;5;Y
53422;QDB EDP MUITO DESOBEDIENTE 100ml;RUA 02;Rack 5;1;A
50022;HER CODE EDP 50ml;RUA 01;Rack 3;4;B
55208;OUI CR HID MAO JD/GRASSE ROSE 30g;RUA 03;Rack 8;6;B
51793;OUI SAB LIQ MULTIF JD/GRASSE ROSE 400ml;rua 6;Rack 1;3;S
51787;OUI EDP JD/GRASSE C/VALVULA 100ml;RUA 04;Rack 8;4;B
50267;EUD K/M DES COL R/MARCAN V3 50ml;RUA 01;Rack 7;3;D
50268;EUD K/M DES COL CABERNET V3 50ml;RUA 01;Rack 4;2;A
50271;EUD K/M DES COL NOW V2 50ml;RUA 01;Rack 7;1;B
50272;EUD K/M LOC PERF DES CPO R/MARC V3 100ml;RUA 02;Rack 5;1;F
52299;VOLPE DES COL NEXT 100ml;RUA 04;Rack 13;3;G
51467;BOTIK SRUM FAC ALT POT VITAM C 30ml;RUA 05;Rack 5;4;Q
56754;NSPA SAB LIQ CPO AMEI V4 200ml;RUA 03;Rack 2;1;A
55764;KIT SIAGE PRO CRONOLOGY HID/NUTR/RECONS;RUA 04;Rack 9;1;J
52075;MATCH MASC CAP HID 4ABC CIEN/CURV 350g;RUA 04;Rack 4;3;E
52073;MATCH FIN CAP JELLY CIEN/CURV 350g;RUA 04;Rack 6;3;B
83145;REF MATCH COND LISO PROLONGADO 250ml;RUA 04;Rack 3;4;F
57021;GLAM LAPIS RETR SOBRANC CLARO V2 0,35g;pré-vencidos;Rack 1;2;M
50221;MALBEC SHW GEL CAB/CPO CLUB V2 250ml;RUA 04;Rack 9;1;A
50214;MALBEC BALM POS BARBA CLUB V2 100g;RUA 05;Rack 1;4;J
50207;MALBEC TON CAP 2/1 CLUB V2 100ml;rua 6;Rack 1;13;AE
50212;MALBEC COND TRAT ANTIC CLUB V2 250ml;RUA 05;Rack 1;1;F
53487;QUASAR NEXT SHW GEL CPO DISNEY100 200g;RUA 04;Rack 8;1;B
52105;NEO DERMO TON MICELAR PURIFIC 200ml;RUA 04;Rack 9;3;H
53835;HER CODE LOC DES HID CPO 200ml;RUA 03;Rack 2;2;B
52861;QDB LAGR/GLIT GEL VERM MULTIF HALLOW 9ml;RUA 03;Rack 3;1;Z
53743;QDB BRUMA FAC PROTETORA PRM 30ML;RUA 03;Rack 10;8;F
52247;NEO DERMO MOUSSE MICLR FAC HID/MIN 150ml;RUA 04;Rack 13;3;J
51782;OUI EDP JD/GRASSE ROSE 100ml;RUA 04;Rack 6;4;G
83140;REF MATCH COND HID/BRLH 250ml;RUA 03;Rack 1;3;D
83156;REF MATCH SHAMP HID/BRLH 250ml;RUA 03;Rack 1;1;E
53922;ESTJ DR BOTICA CORACAO V2;SALA G;Rack 4;2;B
54095;SIÀGE BOOSTER PROAGING HAIR-PLASTIA 100ml;RUA 03;Rack 8;6;F
51730;LYRA DES COL JOY 75ml;RUA 04;Rack 4;4;B
53976;UOMINI CREM POS BARBA 100g;RUA 05;Rack 3;2;E
50211;MALBEC SHAMP ESF ANTICASPA CLUB V2 150ml;RUA 04;Rack 8;1;H
57211;AU MIGOS PETS COL ADULTOS 60ml;RUA 05;Rack 3;1;D
57211;AU MIGOS PETS COL ADULTOS 60ml;rua 6;Rack 1;3;U
57210;AU MIGOS PETS BANHO SECO ADULTOS 240ml;rua 6;Rack 1;3;V
50218;MALBEC CREM HID MULTIF CLUB V2 50ml;RUA 04;Rack 4;1;D
49682;LILY D/COL LEAU DE LILY SOLEIL PRM 10ml;sala A;Rack 1;1;R
51473;ESTJ BOTIK VITAMINA C;SALA G;Rack 4;2;C
51780;LYRA LOC DES HID CPO JOY 150ml;RUA 02;Rack 3;3;F
49048;CBEM CREM HID P/MAOS NUVEM V4 45g;RUA 05;Rack 4;1;C
49048;CBEM CREM HID P/MAOS NUVEM V4 45g;rua 6;Rack 1;3;Y
49890;CBEM LOC DES HID CPO NUVEM V3 200ml;RUA 05;Rack 2;2;A
51801;BOTI BABY SAB LIQ GLIC V2 200ml;RUA 04;Rack 11;1;I
51802;BOTI BABY COL SOL V2 100ml;RUA 01;Rack 8;2;D
51803;BOTI BABY COND V2 400ml;RUA 04;Rack 7;4;F
52008;NSPA LOC RAD DES HID CPO AMEI DOUR 200ml;RUA 04;Rack 2;2;J
52018;BOTI BABY SHAMP V2 400ml;RUA 04;Rack 7;3;B
52025;BOTI BABY SAB LIQ GLIC V2 400ml;RUA 04;Rack 7;1;F
52795;MAKE B BB SEN MULTI 160 220 25g;RUA 03;Rack 4;10;Y
52797;MAKE B BB SEN MULTI 270 330 25g;RUA 03;Rack 4;2;K
52798;MAKE B BB SEN MULTI 220 260 25g;RUA 03;Rack 5;9;I
52948;NSPA CREM ESF CPO AMEI DOUR 200g;RUA 04;Rack 5;3;J
53518;ELYSEE EDP V2 50ml;RUA 01;Rack 10;3;A
53921;DR BOTICA COL POC/CORAC V2 120ml;RUA 01;Rack 9;4;G
50662;QUASAR DES COL VISION 100ml;RUA 04;Rack 7;4;H
50662;QUASAR DES COL VISION 100ml;RUA 04;Rack 12;3;B
4482;BOTIK LOC HID ANTIOL ACI POL FAC 110ml;RUA 05;Rack 5;4;P
49680;LILY DES COL LEAU DE LILY SOLEIL 75ml;RUA 01;Rack 9;2;D
51244;QUASAR DES COL BLUE V4 100ml;RUA 01;Rack 4;2;E
51805;BOTI BABY CR REPAR 30ml;rua 6;Rack 1;3;Z
51806;REF BOTI BABY COND 350ml;RUA 02;Rack 1;2;A
52021;REF BOTI BABY SHAMP 350ml;RUA 03;Rack 2;2;A
52023;BOTI BABY LOC HID CPO 400ml;RUA 04;Rack 4;3;F
52024;REF BOTI BABY SAB LIQ GLIC 350ml;RUA 02;Rack 1;4;E
52040;REF BOTI BABY LOC HID CPO 350ml;RUA 02;Rack 1;1;B
55207;QDB PINCEL MULTIPLO ACABAMENTO PS;RUA 03;Rack 9;6;E
52578;GLAM BASE STICK ADAPT SKIN PROTECT 7g;pré-vencidos;Rack 1;3;W
52382;INSTANCE OL BIF DES H CPO CER/AMEN 200ml;RUA 04;Rack 4;1;B
52382;INSTANCE OL BIF DES H CPO CER/AMEN 200ml;RUA 05;Rack 2;3;H
53840;EUD DES COL VELVET CONFIDENT 100ml;RUA 04;Rack 6;2;D
55710;CJ MAKE B DEM BAS LIQ MAT SALIC 10x7g;RUA 04;Rack 1;2;H
55710;CJ MAKE B DEM BAS LIQ MAT SALIC 10x7g;SALA G;Rack 3;6;D
51242;QUASAR DES COL BRAVE V2 100ml;RUA 01;Rack 9;1;D
57081;KIT DR BOTICA MINI V3;SALA G;Rack 4;4;A
55426;CBEM CREM HID P/MAOS ROS/ALG V5 45g;RUA 03;Rack 8;6;D
55106;CBEM COND FEIRA MEL 170ml;RUA 05;Rack 1;4;A
55105;CBEM CREM PENT FEIRA BABOSA 200ml;RUA 05;Rack 1;2;C
55104;CBEM SHAMP FEIRA VINAGRE FRAMBOESA 230ml;RUA 04;Rack 9;4;H
54805;CBEM MASC FAC FEIRA MELANCIA 50g;RUA 05;Rack 3;4;J
53988;ESTJ ELYSEE REG/21 V2;SALA G;Rack 4;2;D
53794;CBEM LOC DES HID CPO FEIRA FRAMB 400ml;RUA 04;Rack 13;2;J
53685;CBEM LOC DES HID CPO FEIRA MAC/VDE 200ml;RUA 04;Rack 11;4;C
53685;CBEM LOC DES HID CPO FEIRA MAC/VDE 200ml;RUA 05;Rack 4;1;B
53680;QUASAR DES ROLL BLUE V10 55ml;RUA 02;Rack 5;2;A
53543;MATCH SRUM COUR CAB REVIT CIEN/CURV 50ml;RUA 03;Rack 8;4;B
53511;CBEM DES COL BDY SPLSH SHOW/BNH V2 200ml;RUA 02;Rack 1;4;A
53510;CBEM LOC DES HID CPO SHOW/BNH V2 200ml;RUA 05;Rack 1;2;J
51261;QUASAR DES B/SPR BLUE V10 100ml;RUA 04;Rack 6;3;A
51239;CBEM DES COL BDY SPLSH CER/LIV V2 200ml;RUA 01;Rack 5;2;D
51236;CBEM DES COL BDY SPLSH PESSEGUR V2 200ml;RUA 02;Rack 5;1;D
51235;CBEM MASC HID P/BUMBUM PESSEGURA V2 230g;RUA 04;Rack 2;2;G
51227;CBEM SAB BARRA NUVEM 4x80g;RUA 05;Rack 3;2;D
51214;QUASAR DES ANTIT AER BLUE V10 75g;RUA 04;Rack 5;2;G
51168;CBEM SAB LIQ INT CER LIVRE V2 200ml;RUA 04;Rack 3;1;I
51166;CBEM SAB BARRA ROSA/ALGODAO V8 2x80g;RUA 05;Rack 4;4;C
51165;CBEM SAB BARRA ROSA/ALGODAO 4x80g;RUA 04;Rack 13;4;H
51165;CBEM SAB BARRA ROSA/ALGODAO 4x80g;rua 6;Rack 2;4;N
51147;CBEM DES COL BDY SPLSH NUVEM V3 200ml;RUA 02;Rack 2;1;G
51130;CBEM DES COL BDY SPLSH BEIJINHO V2 200ml;RUA 01;Rack 9;3;F
51124;CBEM SAB BARRA BOA NOITE V2 2x80g;RUA 05;Rack 4;4;G
51123;CBEM DES COL BDY SPLSH BOA NOIT V2 200ml;RUA 01;Rack 10;4;B
51122;CBEM SAB LIQ ESF CPO BOA NOITE V2 200ml;RUA 05;Rack 3;1;J
51108;QUASAR SHW GEL CAB/CPO BLUE V3 200g;RUA 04;Rack 10;1;F
50882;CBEM SAB BARRA BOA NOITE V2 4x80g;RUA 04;Rack 3;2;A
50881;CBEM DES COL BDY SPLSH DELEITE V3 200ml;RUA 01;Rack 5;2;B
50726;QUASAR DES ANTIT AER RUSH 75g/125ml;RUA 04;Rack 2;1;C
49945;REF CBEM LOC DES H CPO ROS/ALG V3 350ml;RUA 01;Rack 5;4;A
49943;CBEM LOC DES HID CPO PESSEGURA V2 400ml;RUA 04;Rack 11;4;H
49903;CBEM LOC DES HID CPO PESSEGURA V2 200ml;RUA 04;Rack 10;1;G
49898;CBEM LOC DES HID CPO CER/LIV V2 200ml;RUA 05;Rack 1;1;A
49897;CBEM LOC DES HID CPO CER/LIV V2 400ml;RUA 01;Rack 8;4;A
49896;CBEM LOC DES HID CPO ROS/ALG V3 200ml;RUA 05;Rack 2;1;I
49893;CBEM LOC DES HID CPO ROS/ALG V3 400ml;RUA 01;Rack 6;1;A
49888;CBEM LOC DES HID CPO NUVEM V3 400ml;RUA 01;Rack 6;4;D
49887;REF CBEM LOC DES HID CPO NUVEM V3 350ml;RUA 01;Rack 10;4;F
49880;CBEM LOC DES HID CPO BOA NOITE V2 200ml;RUA 04;Rack 1;1;H
49879;REF CBEM LOC DES H CPO BOA NOIT V2 350ml;RUA 02;Rack 2;3;D
49878;CBEM LOC DES HID CPO BOA NOITE V2 400ml;RUA 01;Rack 6;2;E
49056;REF CBEM CREM HID MAOS ROSA/ALGODAO 40g;RUA 02;Rack 5;3;F
49056;REF CBEM CREM HID MAOS ROSA/ALGODAO 40g;pré-vencidos;Rack 1;4;F
49055;REF CBEM CREM HID MAOS DELEITE 40g;pré-vencidos;Rack 1;4;G
49054;REF CBEM CREM HID MAOS BEIJINHO 40g;rua 6;Rack 1;3;AB
49053;REF CBEM CREM HID MAOS NUVEM 40g;pré-vencidos;Rack 1;4;X
55659;FLORATTA DES COL ROMANC/VERAO 75ml;RUA 01;Rack 5;3;C
55658;FLORATTA DES COL ROMANC/VERAO PRM 10ml;sala A;Rack 1;1;T
52896;ARBO DES COL VERDE PRM 10ml;sala A;Rack 1;2;B
56217;CBEM SPRAY INTIMO REFRESC CER/LIV 75ml;RUA 04;Rack 4;2;B
57675;NSPA OLEO ACUC ESF CPO AMEI V4 200g;RUA 04;Rack 13;1;E
54478;EUDORA H BALM POS BARBA V2 75g;RUA 05;Rack 2;4;G
54507;NIINA SCRT ILUM LIQ CPO/ROST LUMIN 60ml;RUA 03;Rack 6;1;B
53447;EUDORA H DES ANTIT AER V2 125ml;RUA 04;Rack 7;1;G
94093;CLUB 6 DES COL CASSINO V3 95ml;RUA 01;Rack 4;4;C
94091;CLUB 6 DES COL V3 95ml;RUA 01;Rack 8;3;C
54676;INTENSE BLUSH PO ILUM MULTIF BY AMOR 5g;rua 6;Rack 1;3;AC
55064;INTENSE BALM MULTIF FEIRA BANANA 6,2g;RUA 03;Rack 3;6;U
52898;ARBO DES COL PURO 100ml;RUA 01;Rack 8;4;G
51161;CBEM DES ANTIT AER R/ALG V3 125ml;RUA 04;Rack 3;3;B
55505;MAKE B LAP/OLH ULTRABLACK PRETO V2 1,2g;RUA 03;Rack 4;8;V
84387;MALBEC DES COL V6 100ml;RUA 01;Rack 2;1;D
51131;CBEM DES ANTIT ROL BEIJINHO V3 55ml;RUA 03;Rack 2;4;E
51146;CBEM DES ANTIT ROL NUVEM V3 55ml;RUA 01;Rack 6;2;B
51164;CBEM DES ANTIT CR R/ALG V3 80g;RUA 03;Rack 1;2;C
51167;CBEM DES ANTIT CREM S/PERF V2 80g;RUA 04;Rack 4;4;F
51229;CBEM DES ANTIT ROLL ON R/ALG V3 55ml;RUA 01;Rack 9;3;A
53979;DIVA DES COL ABSOLUTA 100ml;RUA 01;Rack 9;2;C
49401;CASA 214 SAB LIQ MULTIF VAN/SUBLIM 400ml;RUA 04;Rack 10;1;A
50250;QDB PR SOL FAC C/COR FPS70 SKINQ 04 40ml;rua 6;Rack 1;3;AF
52051;CASA 214 DIF VARET GARDENIA IMPER 250ml;rua 6;Rack 1;3;AG
